Position,Company,Location,Job Type,Posting Date
OTC Administrator,Illovo Sugar (Malawi) plc,"Limbe, Blantyre",Full Time,2024-04-22
Packaging Foreman,Illovo Sugar (Malawi) plc,"Limbe, Blantyre",Full Time,2024-04-19
Consultancy: Sector Skills Gap Analysis for the Transport Sector,British Council,Malawi,Consultancy,2024-04-19
Consultancy: Sector Skills Gap Analysis for the Tourism and Hospitality Sector,British Council,Malawi,Consultancy,2024-04-19
Consultancy: Sector Skills Gap Analysis for the Renewable Energy Sector,British Council,Malawi,Consultancy,2024-04-19
Consultancy: Sector Skills Gap Analysis for the Agricultural Mechanisation Sector,British Council,Malawi,Consultancy,2024-04-19
Commission-based Merchandisers,Careers Consulting Limited,"Blantyre, Malawi",Commission-based,2024-04-19
Social Welfare Officer (8),Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Chikwawa, Machinga, Mangochi, Mulanje, Phalombe, Thyolo and Zomba",Full Time,2024-04-23
Economic Strengthening Officer (ESO) (8),Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Chikwawa, Zomba, Phalombe, Mulanje, Thyolo, Machinga, Mangochi",Full Time,2024-04-23
Community Engagement Coordinator,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
District Team Lead (8),Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Chikwawa, Zomba, Phalombe, Mulanje, Thyolo, Machinga, Mangochi",Full Time,2024-04-23
Economic Strengthening/PSE Coordinator,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
Economic Strengthening (ES) Specialist,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
HIV Prevention Technical Specialist – Re-advertised,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
OVC Case Management & Parenting Specialist,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
Implementation Lead,Project Hope Namibia in Malawi (PHN-MA),"Blantyre, Malawi",Full Time,2024-04-23
